tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,avoid_x,avoid_y,avoid_yaw,avoid_k
149,1789393211608936708,46110661476876,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
150,1789393211618918291,46110671458568,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
151,1789393211628918101,46110681458377,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
152,1789393211638916514,46110691456793,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
153,1789393211648927899,46110701468177,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
154,1789393211658919407,46110711459683,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
155,1789393211668945043,46110721485320,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
156,1789393211678936632,46110731476909,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
157,1789393211688945716,46110741485989,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
158,1789393211698915736,46110751456012,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
159,1789393211708908446,46110761448716,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
160,1789393211718908098,46110771448375,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
161,1789393211728932404,46110781472680,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
162,1789393211738986959,46110791527231,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
163,1789393211748931422,46110801471694,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
164,1789393211758943988,46110811484259,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
165,1789393211768919419,46110821459690,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
166,1789393211778996128,46110831536375,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
167,1789393211788944908,46110841485124,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
168,1789393211798930205,46110851470463,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
169,1789393211808934634,46110861474822,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
170,1789393211818930089,46110871470334,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
171,1789393211828941929,46110881482206,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
172,1789393211838924048,46110891464321,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
173,1789393211848933145,46110901473394,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
174,1789393211858935775,46110911476028,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
175,1789393211868928142,46110921468405,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
176,1789393211878932782,46110931472959,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
177,1789393211889011220,46110941551488,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
178,1789393211898992092,46110951532340,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
179,1789393211908934118,46110961474373,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
180,1789393211918931169,46110971471315,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
181,1789393211928955275,46110981495523,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
182,1789393211938932115,46110991472382,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
183,1789393211948931737,46111001472007,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
184,1789393211958938865,46111011479124,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
185,1789393211968928753,46111021469018,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
186,1789393211978956485,46111031496745,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
187,1789393211988928407,46111041468686,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
188,1789393211998927387,46111051467650,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
189,1789393212008928629,46111061468894,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
