tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
207,1789654101.094188452,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
208,1789654101.104193211,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
209,1789654101.114163876,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
210,1789654101.124153137,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
211,1789654101.134128809,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
212,1789654101.144169331,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
213,1789654101.154194355,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
214,1789654101.164130449,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
215,1789654101.174129486,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
216,1789654101.184131622,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
217,1789654101.194164753,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
218,1789654101.204160690,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
219,1789654101.214165449,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
220,1789654101.224152088,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
221,1789654101.234122515,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
222,1789654101.244119406,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
223,1789654101.254128933,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
224,1789654101.264214039,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
225,1789654101.274124146,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
226,1789654101.284137726,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
227,1789654101.294135332,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
228,1789654101.304209709,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
229,1789654101.314197540,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
230,1789654101.324174881,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
231,1789654101.334132910,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
232,1789654101.344126940,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
233,1789654101.354139566,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
234,1789654101.364169836,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
235,1789654101.374159098,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
236,1789654101.384132862,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
237,1789654101.394119978,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
238,1789654101.404173136,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
239,1789654101.414161444,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
240,1789654101.424158812,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
