tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
8513,1789650259.820942879,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8514,1789650259.830953360,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8515,1789650259.840990543,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8516,1789650259.850985050,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8517,1789650259.860985041,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8518,1789650259.870983839,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8519,1789650259.880969763,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8520,1789650259.890960455,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8521,1789650259.900955200,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8522,1789650259.911005259,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8523,1789650259.920949936,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8524,1789650259.930948496,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8525,1789650259.940966845,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8526,1789650259.950990677,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8527,1789650259.961006165,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8528,1789650259.970973969,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8529,1789650259.980956078,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8530,1789650259.990968943,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8531,1789650260.000940561,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8532,1789650260.010947943,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8533,1789650260.020943642,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8534,1789650260.030947447,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8535,1789650260.040987253,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8536,1789650260.050974607,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8537,1789650260.060968399,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8538,1789650260.070963621,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8539,1789650260.080958605,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8540,1789650260.090969563,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8541,1789650260.101019859,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8542,1789650260.110988855,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8543,1789650260.120957136,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8544,1789650260.130948305,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8545,1789650260.140967369,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8546,1789650260.150952816,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8547,1789650260.160986662,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8548,1789650260.170947790,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8549,1789650260.180949926,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8550,1789650260.190951109,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8551,1789650260.200958490,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8552,1789650260.210969687,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8553,1789650260.220948219,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8554,1789650260.230948448,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8555,1789650260.240962505,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8556,1789650260.251014948,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8557,1789650260.260975838,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8558,1789650260.270958662,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8559,1789650260.280924082,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8560,1789650260.291002989,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8561,1789650260.300979376,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8562,1789650260.310931683,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8563,1789650260.320935726,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8564,1789650260.330924988,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8565,1789650260.340951204,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8566,1789650260.350930929,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8567,1789650260.360958099,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8568,1789650260.370956182,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8569,1789650260.380969524,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8570,1789650260.390984535,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8571,1789650260.400965691,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8572,1789650260.410992622,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8573,1789650260.420950890,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8574,1789650260.430963516,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8575,1789650260.440976381,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8576,1789650260.450976849,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8577,1789650260.460954905,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8578,1789650260.470947981,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8579,1789650260.480930805,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8580,1789650260.490931749,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8581,1789650260.501003742,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8582,1789650260.510938168,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8583,1789650260.520936251,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8584,1789650260.530936003,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8585,1789650260.540926456,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8586,1789650260.550928116,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8587,1789650260.560932636,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8588,1789650260.570988894,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8589,1789650260.580939531,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8590,1789650260.590943575,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8591,1789650260.600934744,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8592,1789650260.610929012,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8593,1789650260.620941162,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8594,1789650260.630923271,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8595,1789650260.640925646,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8596,1789650260.650936842,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8597,1789650260.660937071,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8598,1789650260.671038389,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8599,1789650260.680926800,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8600,1789650260.690928698,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8601,1789650260.700936079,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8602,1789650260.710946083,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8603,1789650260.720946074,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8604,1789650260.730941296,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8605,1789650260.740994215,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8606,1789650260.750970125,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
