tick,event_time_ns,stopline_detected,stop_distance,red,green,vehicle_speed,vehicle_speed_valid
410,1789335595396151906,0,0,0,0,-0.000134455302,1
411,1789335595406198043,0,0,0,0,-0.0001611364569,1
412,1789335595416151300,0,0,0,0,-2.62978142e-06,1
413,1789335595426138614,0,0,0,0,0.0001898251357,1
414,1789335595436156106,0,0,0,0,0.0002307776303,1
415,1789335595446151471,0,0,0,0,9.080739255e-05,1
416,1789335595456136571,0,0,0,0,-9.378892719e-05,1
417,1789335595466147405,0,0,0,0,-0.0001676390093,1
418,1789335595476135911,0,0,0,0,-0.0001698424021,1
419,1789335595486150616,0,0,0,0,-3.484488116e-05,1
420,1789335595496148160,0,0,0,0,5.080465053e-05,1
421,1789335595506171593,0,0,0,0,4.596111103e-05,1
422,1789335595516145895,0,0,0,0,2.627449794e-05,1
423,1789335595526145302,0,0,0,0,4.747509956e-05,1
424,1789335595536131282,0,0,0,0,2.147697342e-05,1
425,1789335595546154443,0,0,0,0,2.93498324e-05,1
426,1789335595556168417,0,0,0,0,2.66264542e-05,1
427,1789335595566125271,0,0,0,0,3.520614337e-05,1
428,1789335595576162572,0,0,0,0,4.055908721e-05,1
429,1789335595586129198,0,0,0,0,4.165904465e-05,1
430,1789335595596145293,0,0,0,0,3.101308539e-05,1
431,1789335595606168375,0,0,0,0,3.870400178e-05,1
432,1789335595616156137,0,0,0,0,3.684666444e-05,1
433,1789335595626175681,0,0,0,0,4.681218707e-05,1
434,1789335595636175497,0,0,0,0,7.277403347e-05,1
435,1789335595646155429,0,0,0,0,0.000131754874,1
436,1789335595656154184,0,0,0,0,6.132236012e-05,1
437,1789335595666154910,0,0,0,0,-0.0001179751416,1
438,1789335595676138172,0,0,0,0,-0.0001253304363,1
439,1789335595686120483,0,0,0,0,3.238114004e-05,1
440,1789335595696200020,0,0,0,0,0.0001511701121,1
441,1789335595706119272,0,0,0,0,0.0001699110144,1
442,1789335595716161932,0,0,0,0,2.584580579e-05,1
443,1789335595726157181,0,0,0,0,-0.0001565753919,1
444,1789335595736146329,0,0,0,0,-0.0001965878764,1
445,1789335595746162001,0,0,0,0,-6.134205614e-05,1
446,1789335595756149936,0,0,0,0,0.0001172676639,1
447,1789335595766169449,0,0,0,0,0.0001651020866,1
448,1789335595776138915,0,0,0,0,1.985525887e-05,1
449,1789335595786214511,0,0,0,0,-0.0001819974423,1
450,1789335595796187415,0,0,0,0,-0.0002227763034,1
451,1789335595806210137,0,0,0,0,-7.37673472e-05,1
452,1789335595816171937,0,0,0,0,0.0001240933343,1
453,1789335595833001496,0,0,0,0,3.225625187e-05,1
454,1789335595836166375,0,0,0,0,3.225625187e-05,1
455,1789335595846223966,0,0,0,0,-0.0001624340221,1
456,1789335595856148713,0,0,0,0,-0.0002162131132,1
457,1789335595866196471,0,0,0,0,-6.870776269e-05,1
458,1789335595876173546,0,0,0,0,7.464019291e-05,1
459,1789335595886140819,0,0,0,0,0.0001186361842,1
460,1789335595896143372,0,0,0,0,0.0001112891332,1
461,1789335595906181393,0,0,0,0,-2.28116005e-05,1
462,1789335595916174160,0,0,0,0,-9.96869785e-05,1
463,1789335595926145586,0,0,0,0,-7.846583321e-05,1
464,1789335595936189335,0,0,0,0,-8.684438217e-05,1
465,1789335595946192083,0,0,0,0,-0.0001485839457,1
466,1789335595956148779,0,0,0,0,-9.665267135e-05,1
467,1789335595966177171,0,0,0,0,8.912296471e-05,1
468,1789335595976151004,0,0,0,0,0.0002306460956,1
469,1789335595986140348,0,0,0,0,0.0001409008255,1
470,1789335595996205070,0,0,0,0,-3.656931995e-06,1
471,1789335596006186963,0,0,0,0,-0.000146522405,1
472,1789335596016211486,0,0,0,0,-0.0001884053927,1
473,1789335596026163502,0,0,0,0,-7.154584455e-05,1
474,1789335596036188349,0,0,0,0,0.0001140064487,1
475,1789335596046211506,0,0,0,0,0.000176621179,1
476,1789335596056150460,0,0,0,0,0.0001755577687,1
