tick,event_time_ns,time_kst,seconds_from_detection,v_ref,v_act,stopline_detected,remaining_m,distance_known,signal
3429,1789335625586134286,06:40:25.586,-0.24001431465148926,2.0,1.960609078,0,,0,1
3430,1789335625596177718,06:40:25.596,-0.22997093200683594,2.0,1.961247802,0,,0,1
3431,1789335625606675632,06:40:25.606,-0.21947288513183594,2.0,1.961649895,0,,0,1
3432,1789335625616170332,06:40:25.616,-0.20997834205627441,2.0,1.961649895,0,,0,1
3433,1789335625626153861,06:40:25.626,-0.19999456405639648,2.0,1.962476134,0,,0,1
3434,1789335625636170284,06:40:25.636,-0.18997836112976074,2.0,1.962888718,0,,0,1
3435,1789335625646144730,06:40:25.646,-0.18000364303588867,2.0,1.963854194,0,,0,1
3436,1789335625656151842,06:40:25.656,-0.1699967384338379,2.0,1.963706374,0,,0,1
3437,1789335625666142701,06:40:25.666,-0.16000580787658691,2.0,1.96366179,0,,0,1
3438,1789335625676183928,06:40:25.676,-0.1499648094177246,2.0,1.965183377,0,,0,1
3439,1789335625686129748,06:40:25.686,-0.14001893997192383,2.0,1.965345263,0,,0,1
3440,1789335625696735326,06:40:25.696,-0.12941336631774902,2.0,1.965345263,0,,0,1
3441,1789335625706138507,06:40:25.706,-0.1200098991394043,2.0,1.964758754,0,,0,1
3442,1789335625716144003,06:40:25.716,-0.11000442504882812,2.0,1.964620948,0,,0,1
3443,1789335625726147424,06:40:25.726,-0.10000109672546387,2.0,1.964620948,0,,0,1
3444,1789335625736184980,06:40:25.736,-0.08996343612670898,2.0,1.964836836,0,,0,1
3445,1789335625746183531,06:40:25.746,-0.07996511459350586,2.0,1.964836836,0,,0,1
3446,1789335625756167966,06:40:25.756,-0.06998062133789062,2.0,1.964360476,0,,0,1
3447,1789335625766142483,06:40:25.766,-0.060006141662597656,2.0,1.964791775,0,,0,1
3448,1789335625776145557,06:40:25.776,-0.0500028133392334,2.0,1.964236021,0,,0,1
3449,1789335625786172132,06:40:25.786,-0.03997635841369629,2.0,1.963530898,0,,0,1
3450,1789335625796129465,06:40:25.796,-0.030019044876098633,2.0,1.962820292,0,,0,1
3451,1789335625806148691,06:40:25.806,-0.019999980926513672,2.0,1.962927818,0,,0,1
3452,1789335625816306814,06:40:25.816,-0.0098419189453125,2.0,1.962333202,0,,0,1
3453,1789335625826148729,06:40:25.826,0.0,2.0,1.961731195,1,,0,2
3454,1789335625836249430,06:40:25.836,0.010100841522216797,2.0,1.962320924,1,,0,2
