stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_snapped
1789220006.797,37.3041587,127.9075400,5,0,1.853,0,0.020,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.897,37.3041587,127.9075400,5,0,1.853,0,0.120,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.997,37.3041587,127.9075398,5,0,1.848,0,0.097,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.097,37.3041585,127.9075398,5,0,1.866,0,0.074,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.197,37.3041585,127.9075398,5,0,1.866,0,0.041,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.297,37.3041585,127.9075398,5,0,1.866,0,0.023,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.397,37.3041585,127.9075398,5,0,1.866,0,0.124,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.497,37.3041585,127.9075397,5,0,1.861,0,0.095,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.597,37.3041585,127.9075398,5,0,1.866,0,0.072,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.697,37.3041587,127.9075400,5,0,1.853,0,0.048,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
