generation,time_ns,zone_id,zone_valid,raw_in,stable_in,enter_count,exit_count,x,y,position_valid,track_index,previous_track_index,position_step_m,heading_rad,heading_valid,boundary_endpoint_distance_m,calibration_state
1789221205386473329,1789221205401416231,9,1,0,0,0,5,13.048904665771808,-29.885709333496493,1,77,77,0.14224186329901703,0.82491208449403164,1,27.249858856201172,1
1789221205510116358,1789221205601420014,0,1,1,1,0,0,13.078420396676135,-29.774389332986573,1,77,77,0.11516649202066237,0.82380577436128544,1,0,1
1789221205510116358,1789221205601420014,9,1,0,0,0,5,13.078420396676135,-29.774389332986573,1,77,77,0.11516649202066237,0.82380577436128544,1,27.187816619873047,1
1789221205640404371,1789221205701421356,0,1,1,1,0,0,13.16696758938912,-29.70017599984061,1,77,77,0.11553451499004182,0.83120312131388774,1,0,1
1789221205640404371,1789221205701421356,9,1,0,0,0,5,13.16696758938912,-29.70017599984061,1,77,77,0.11553451499004182,0.83120312131388774,1,27.1934814453125,1
1789221205768358331,1789221205801409897,0,1,1,1,0,0,13.225999051197777,-29.625962666694647,1,77,77,0.094827908866010988,0.83267677202810475,1,0,1
1789221205768358331,1789221205801409897,9,1,0,0,0,5,13.225999051197777,-29.625962666694647,1,77,77,0.094827908866010988,0.83267677202810475,1,27.179460525512695,1
1789221205893169182,1789221205901412217,0,1,1,1,0,0,13.299788379716929,-29.533196000262194,1,77,77,0.1185348868658402,0.83404008565304144,1,0,1
1789221205893169182,1789221205901412217,9,1,0,0,0,5,13.299788379716929,-29.533196000262194,1,77,77,0.1185348868658402,0.83404008565304144,1,27.162391662597656,1
1789221206011043039,1789221206101411631,0,1,1,1,0,0,13.37357770697775,-29.458982666325255,1,77,77,0.10465411483377091,0.8440883694362622,1,0,1
1789221206011043039,1789221206101411631,9,1,0,0,0,5,13.37357770697775,-29.458982666325255,1,77,77,0.10465411483377091,0.8440883694362622,1,27.159269332885742,1
1789221206143063116,1789221206201406201,0,1,1,1,0,0,13.447367034238571,-29.384769333179293,1,77,77,0.10465411427286626,0.83102132003008711,1,0,1
1789221206143063116,1789221206201406201,9,1,0,0,0,5,13.447367034238571,-29.384769333179293,1,77,77,0.10465411427286626,0.83102132003008711,1,27.156549453735352,1
1789221206260079499,1789221206301405773,0,1,1,1,0,0,13.521156361499392,-29.292002666746839,1,77,77,0.11853488608251402,0.838298797228195,1,0,1
1789221206260079499,1789221206301405773,9,1,0,0,0,5,13.521156361499392,-29.292002666746839,1,77,77,0.11853488608251402,0.838298797228195,1,27.140890121459961,1
1789221206383655680,1789221206401411734,0,1,1,1,0,0,13.609703554212375,-29.236342666887367,1,77,77,0.10458795782357863,0.83739387489584249,1,0,1
1789221206383655680,1789221206401411734,9,1,0,0,0,5,13.609703554212375,-29.236342666887367,1,77,77,0.10458795782357863,0.83739387489584249,1,27.162614822387695,1
1789221206511876358,1789221206601409513,0,1,1,1,0,0,13.683492881473196,-29.162129332950428,1,77,77,0.10465411483377091,0.84971971993326978,1,0,1
1789221206511876358,1789221206601409513,9,1,0,0,0,5,13.683492881473196,-29.162129332950428,1,77,77,0.10465411483377091,0.84971971993326978,1,27.16114616394043,1
1789221206637112486,1789221206701412298,0,1,1,1,0,0,13.742524343281852,-29.087915999804466,1,77,77,0.094827908866010988,0.84386784449790664,1,0,1
1789221206637112486,1789221206701412298,9,1,0,0,0,5,13.742524343281852,-29.087915999804466,1,77,77,0.094827908866010988,0.84386784449790664,1,27.149702072143555,1
1789221206766012355,1789221206801409567,0,1,1,1,0,0,13.816313671801005,-29.013702666658503,1,77,77,0.10465411516008871,0.85232899376217075,1,0,1
1789221206766012355,1789221206801409567,9,1,0,0,0,5,13.816313671801005,-29.013702666658503,1,77,77,0.10465411516008871,0.85232899376217075,1,27.14900016784668,1
1789221206889257066,1789221206901418085,0,1,1,1,0,0,13.875345133609661,-28.93948933351254,1,77,77,0.094827908866010988,0.85012384523476481,1,0,1
1789221206889257066,1789221206901418085,9,1,0,0,0,5,13.875345133609661,-28.93948933351254,1,77,77,0.094827908866010988,0.85012384523476481,1,27.138246536254883,1
1789221207015496893,1789221207101409933,0,1,1,1,0,0,13.963892326322647,-28.902382666939559,1,77,77,0.096007864477390417,0.85256286665822767,1,0,1
1789221207015496893,1789221207101409933,9,1,0,0,0,5,13.963892326322647,-28.902382666939559,1,77,77,0.096007864477390417,0.85256286665822767,1,27.174901962280273,1
1789221207149565643,1789221207201408531,0,1,1,1,0,0,14.022923788131303,-28.809615999716129,1,77,77,0.10995620960641266,0.84380369857336035,1,0,1
1789221207149565643,1789221207201408531,9,1,0,0,0,5,14.022923788131303,-28.809615999716129,1,77,77,0.10995620960641266,0.84380369857336035,1,27.151777267456055,1
1789221207260060534,1789221207301400888,0,1,1,1,0,0,14.096713115392124,-28.735402666570167,1,77,77,0.10465411427286626,0.84991250156203124,1,0,1
