stamp_s,counter,x,y,yaw,v,str,str_ref
1789220004.168,275,0.0000,0.0000,0.0000,-0.0001,0.0010,0.0000
1789220004.178,276,0.0000,0.0000,0.0000,-0.0000,0.0014,0.0000
1789220004.188,277,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000
1789220004.198,278,0.0000,0.0000,0.0000,0.0000,0.0018,0.0000
1789220004.208,279,0.0000,0.0000,0.0000,-0.0000,0.0025,0.0000
1789220004.218,280,0.0000,0.0000,0.0000,-0.0000,0.0029,0.0000
1789220004.228,281,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000
1789220004.238,282,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000
1789220004.248,283,0.0000,0.0000,0.0000,0.0000,-0.0004,0.0000
1789220004.258,284,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000
1789220004.268,285,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000
1789220004.278,286,0.0000,0.0000,0.0000,-0.0001,0.0012,0.0000
1789220004.288,287,0.0000,0.0000,0.0000,-0.0001,0.0020,0.0000
1789220004.298,288,0.0000,0.0000,0.0000,-0.0002,0.0016,0.0000
1789220004.308,289,0.0000,0.0000,0.0000,-0.0001,0.0021,0.0000
1789220004.318,290,0.0000,0.0000,0.0000,0.0001,0.0018,0.0000
1789220004.328,291,0.0000,0.0000,0.0000,0.0001,0.0016,0.0000
1789220004.338,292,0.0000,0.0000,0.0000,0.0000,0.0016,0.0000
1789220004.348,293,0.0000,0.0000,0.0000,-0.0000,0.0013,0.0000
1789220004.358,294,0.0000,0.0000,0.0000,-0.0000,0.0017,0.0000
1789220004.368,295,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000
1789220004.378,296,0.0000,0.0000,0.0000,-0.0001,0.0022,0.0000
1789220004.388,297,0.0000,0.0000,0.0000,-0.0001,0.0024,0.0000
1789220004.398,298,0.0000,0.0000,0.0000,-0.0000,0.0023,0.0000
1789220004.408,299,0.0000,0.0000,0.0000,-0.0001,0.0005,0.0000
1789220004.418,300,0.0000,0.0000,0.0000,-0.0001,0.0003,0.0000
1789220004.428,301,0.0000,0.0000,0.0000,-0.0001,0.0002,0.0000
1789220004.438,302,0.0000,0.0000,0.0000,-0.0000,-0.0003,0.0000
1789220004.448,303,0.0000,0.0000,0.0000,-0.0000,0.0006,0.0000
1789220004.458,304,0.0000,0.0000,0.0000,-0.0001,0.0009,0.0000
1789220004.468,305,0.0000,0.0000,0.0000,0.0001,0.0023,0.0000
1789220004.478,306,0.0000,0.0000,0.0000,0.0001,0.0007,0.0000
1789220004.488,307,0.0000,0.0000,0.0000,0.0001,0.0009,0.0000
1789220004.498,308,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000
1789220004.508,309,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000
1789220004.518,310,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000
1789220004.528,311,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000
1789220004.538,312,0.0000,0.0000,0.0000,-0.0000,0.0039,0.0000
1789220004.548,313,0.0000,0.0000,0.0000,-0.0000,0.0055,0.0000
1789220004.558,314,0.0000,0.0000,0.0000,-0.0000,0.0051,0.0000
1789220004.568,315,0.0000,0.0000,0.0000,-0.0000,0.0030,0.0000
1789220004.578,316,0.0000,0.0000,0.0000,-0.0000,0.0005,0.0000
1789220004.588,317,0.0000,0.0000,0.0000,0.0001,-0.0003,0.0000
1789220004.598,318,0.0000,0.0000,0.0000,0.0001,0.0015,0.0000
1789220004.608,319,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000
1789220004.618,320,0.0000,0.0000,0.0000,-0.0001,0.0029,0.0000
1789220004.628,321,0.0000,0.0000,0.0000,-0.0001,0.0016,0.0000
1789220004.638,322,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000
1789220004.648,323,0.0000,0.0000,0.0000,0.0001,0.0021,0.0000
1789220004.658,324,0.0000,0.0000,0.0000,0.0001,0.0023,0.0000
1789220004.668,325,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000
1789220004.678,326,0.0000,0.0000,0.0000,0.0001,0.0035,0.0000
1789220004.688,327,0.0000,0.0000,0.0000,0.0001,0.0031,0.0000
1789220004.698,328,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000
1789220004.708,329,0.0000,0.0000,0.0000,0.0000,0.0026,0.0000
1789220004.718,330,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000
1789220004.728,331,0.0000,0.0000,0.0000,0.0001,0.0004,0.0000
1789220004.738,332,0.0000,0.0000,0.0000,-0.0000,0.0011,0.0000
1789220004.748,333,0.0000,0.0000,0.0000,-0.0000,0.0013,0.0000
1789220004.758,334,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000
1789220004.768,335,0.0000,0.0000,0.0000,-0.0000,0.0013,0.0000
1789220004.778,336,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000
1789220004.788,337,0.0000,0.0000,0.0000,-0.0001,0.0006,0.0000
1789220004.798,338,0.0000,0.0000,0.0000,-0.0001,0.0001,0.0000
1789220004.808,339,0.0000,0.0000,0.0000,-0.0001,0.0005,0.0000
1789220004.818,340,0.0000,0.0000,0.0000,0.0001,0.0007,0.0000
1789220004.828,341,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000
1789220004.838,342,0.0000,0.0000,0.0000,0.0001,0.0013,0.0000
1789220004.848,343,0.0000,0.0000,0.0000,-0.0000,0.0018,0.0000
1789220004.858,344,0.0000,0.0000,0.0000,-0.0001,0.0036,0.0000
1789220004.868,345,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000
1789220004.878,346,0.0000,0.0000,0.0000,0.0001,0.0020,0.0000
