stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_index,preview_snapped
1789733908.163,37.3037523,127.9070272,4,78,0.274,0,0.080,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733908.263,37.3037523,127.9070272,4,78,0.274,0,0.064,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733908.363,37.3037523,127.9070272,4,78,0.274,0,0.044,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733908.463,37.3037523,127.9070272,4,78,0.274,0,0.026,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733908.563,37.3037523,127.9070272,4,78,0.274,0,0.126,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733908.663,37.3037523,127.9070273,4,78,0.263,0,0.093,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733908.764,37.3037523,127.9070273,4,78,0.263,0,0.070,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.837546,19.837546,0.000000,0.100000,21.837546,21.837546,88,0
1789733908.863,37.3037523,127.9070272,4,78,0.274,0,0.043,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733908.963,37.3037523,127.9070272,4,78,0.274,0,0.024,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733909.063,37.3037523,127.9070272,4,78,0.274,0,0.123,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
