tick,t,gps_x,gps_y,gps_position_valid,cross,gps_yaw_error,gps_heading_valid,gps_valid,lidar_valid,lane_conf,go,v,v_valid,obstacle,avoidable,done,avoid_n,avoid_age,avoid_timeout,gps_n,estop,auto_estop,avoid_zone,gps_only_zone,top,nav,avoid,safety,source,v_ref,ref_valid,ref_fresh,ref_age,blocked,route_index,route_connecting,gps_point_x,gps_point_y,gps_point_yaw,gps_point_curvature,avoid_point_x,avoid_point_y,avoid_point_yaw,avoid_point_curvature,target_point_x,target_point_y,target_point_yaw,target_point_curvature,target_n
1415,1789473934.315671,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1358231604099274,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1416,1789473934.325686,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1458374559879303,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1417,1789473934.335668,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1558196544647217,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1418,1789473934.345681,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1658324003219604,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1419,1789473934.35567,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1758216768503189,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1420,1789473934.365683,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1858345717191696,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1421,1789473934.37568,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1958318650722504,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1422,1789473934.385678,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.07909466326236725,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1423,1789473934.395715,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.08913146704435349,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1424,1789473934.405723,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.09913956373929977,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1425,1789473934.41571,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1091271713376045,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1426,1789473934.425719,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1191355809569359,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1427,1789473934.435769,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1291853785514832,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1428,1789473934.445715,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1391315907239914,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1429,1789473934.455703,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1491188555955887,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1430,1789473934.465681,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1590977609157562,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1431,1789473934.475688,31.32016630511617,34.47580399948976,1,46.57825469970703,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1691046059131622,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.06565093994141,1.052618026733398,-4.560618549476203e-10,9.168223125133323e-11,1
1432,1789473934.485683,31.2906504435112,34.45725066620327,1,46.544677734375,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.05399438366293907,0,0,0,49.03186798095703,1.061227560043335,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.03186798095703,1.061227560043335,-4.560618549476203e-10,9.168223125133323e-11,1
