"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","parking_mode","drive_mode"
"126","37.30371372","127.90703650","-44.000084","-51.116706","0.840436251","48.153450","31.270980","STRAIGHT","0","0","none","mission"
"127","37.30371540","127.90703838","-43.833403","-50.930588","0.840436251","48.153450","31.520824","STRAIGHT","0","0","none","mission"
"128","37.30371707","127.90704026","-43.666723","-50.744471","0.840436251","48.153450","31.770669","STRAIGHT","0","0","none","mission"
"129","37.30371875","127.90704214","-43.500042","-50.558353","0.840436251","48.153450","32.020513","STRAIGHT","0","0","none","mission"
"130","37.30372043","127.90704402","-43.333361","-50.372235","0.840436251","48.153450","32.270358","STRAIGHT","0","0","none","mission"
"131","37.30372210","127.90704590","-43.166681","-50.186118","0.840436251","48.153450","32.520202","STRAIGHT","0","0","none","mission"
"132","37.30372378","127.90704778","-43.000000","-50.000000","0.868674375","49.771375","32.770046","STRAIGHT","2","1","none","mission"
"133","37.30372554","127.90704954","-42.844058","-49.804732","0.934634546","53.550615","33.019941","CUBIC_HERMITE","2","1","none","mission"
"134","37.30372740","127.90705113","-42.703237","-49.598206","0.995039340","57.011555","33.269908","CUBIC_HERMITE","2","1","none","mission"
"135","37.30372932","127.90705261","-42.571919","-49.385489","1.033096790","59.192086","33.519894","CUBIC_HERMITE","2","1","none","mission"
"136","37.30373127","127.90705401","-42.447197","-49.168830","1.059649065","60.713419","33.769887","CUBIC_HERMITE","2","1","none","mission"
"137","37.30373325","127.90705537","-42.327350","-48.949434","1.079360734","61.842815","34.019883","CUBIC_HERMITE","2","1","none","mission"
"138","37.30373524","127.90705668","-42.211263","-48.728024","1.094614125","62.716770","34.269881","CUBIC_HERMITE","2","1","none","mission"
"139","37.30373725","127.90705795","-42.098163","-48.505072","1.106763112","63.412855","34.519880","CUBIC_HERMITE","2","1","none","mission"
"140","37.30373927","127.90705920","-41.987488","-48.280905","1.116645399","63.979069","34.769879","CUBIC_HERMITE","2","1","none","mission"
"141","37.30374130","127.90706042","-41.878816","-48.055761","1.124808919","64.446804","35.019878","CUBIC_HERMITE","2","1","none","mission"
"142","37.30374334","127.90706163","-41.771816","-47.829817","1.131626068","64.837398","35.269877","CUBIC_HERMITE","2","1","none","mission"
"143","37.30374538","127.90706282","-41.666223","-47.603211","1.137359798","65.165916","35.519877","CUBIC_HERMITE","2","1","none","mission"
"144","37.30374742","127.90706400","-41.561820","-47.376055","1.142204090","65.443474","35.769877","CUBIC_HERMITE","2","1","none","mission"
"145","37.30374948","127.90706517","-41.458428","-47.148437","1.146301238","65.678223","36.019877","CUBIC_HERMITE","2","1","none","mission"
"146","37.30375153","127.90706632","-41.355891","-46.920433","1.149758613","65.876316","36.269877","CUBIC_HERMITE","2","1","none","mission"
"147","37.30375359","127.90706747","-41.254075","-46.692105","1.152660113","66.042560","36.519876","CUBIC_HERMITE","2","1","none","mission"
"148","37.30375565","127.90706861","-41.152862","-46.463509","1.155070387","66.180658","36.769876","CUBIC_HERMITE","2","1","none","mission"
"149","37.30375771","127.90706975","-41.052148","-46.234694","1.157038438","66.293419","37.019876","CUBIC_HERMITE","2","1","none","mission"
"150","37.30375977","127.90707088","-40.951835","-46.005701","1.158601851","66.382996","37.269876","CUBIC_HERMITE","2","1","none","mission"
"151","37.30376184","127.90707201","-40.851837","-45.776572","1.159790790","66.451117","37.519876","CUBIC_HERMITE","2","1","none","mission"
"152","37.30376390","127.90707313","-40.752070","-45.547342","1.160626593","66.499005","37.769876","CUBIC_HERMITE","2","1","none","mission"
"153","37.30376597","127.90707426","-40.652455","-45.318045","1.161124145","66.527513","38.019876","CUBIC_HERMITE","2","1","none","mission"
"154","37.30376803","127.90707538","-40.552916","-45.088716","1.161292679","66.537169","38.269876","CUBIC_HERMITE","2","1","none","mission"
"155","37.30377010","127.90707650","-40.453378","-44.859386","1.161136097","66.528198","38.519876","CUBIC_HERMITE","2","1","none","mission"
"156","37.30377217","127.90707763","-40.353767","-44.630088","1.160653112","66.500525","38.769876","CUBIC_HERMITE","2","1","none","mission"
"157","37.30377423","127.90707875","-40.254007","-44.400854","1.159837207","66.453777","39.019876","CUBIC_HERMITE","2","1","none","mission"
"158","37.30377630","127.90707988","-40.154022","-44.171719","1.158676432","66.387269","39.269876","CUBIC_HERMITE","2","1","none","mission"
"159","37.30377836","127.90708101","-40.053731","-43.942718","1.157152797","66.299972","39.519876","CUBIC_HERMITE","2","1","none","mission"
"160","37.30378042","127.90708215","-39.953048","-43.713888","1.155240466","66.190403","39.769876","CUBIC_HERMITE","2","1","none","mission"
"161","37.30378248","127.90708329","-39.851882","-43.485272","1.152907818","66.056752","40.019876","CUBIC_HERMITE","2","1","none","mission"
"162","37.30378454","127.90708444","-39.750133","-43.256915","1.150111611","65.896541","40.269876","CUBIC_HERMITE","2","1","none","mission"
"163","37.30378659","127.90708559","-39.647690","-43.028868","1.146795458","65.706540","40.519876","CUBIC_HERMITE","2","1","none","mission"
"164","37.30378865","127.90708676","-39.544428","-42.801190","1.142888448","65.482684","40.769876","CUBIC_HERMITE","2","1","none","mission"
"165","37.30379069","127.90708793","-39.440206","-42.573951","1.138300415","65.219810","41.019876","CUBIC_HERMITE","2","1","none","mission"
"166","37.30379274","127.90708912","-39.334860","-42.347231","1.132910864","64.911011","41.269875","CUBIC_HERMITE","2","1","none","mission"
"167","37.30379477","127.90709032","-39.228195","-42.121129","1.126560831","64.547181","41.519875","CUBIC_HERMITE","2","1","none","mission"
"168","37.30379680","127.90709154","-39.119978","-41.895765","1.119036338","64.116059","41.769874","CUBIC_HERMITE","2","1","none","mission"
"169","37.30379883","127.90709278","-39.009922","-41.671294","1.110043164","63.600788","42.019873","CUBIC_HERMITE","2","1","none","mission"
"170","37.30380084","127.90709405","-38.897670","-41.447913","1.099164444","62.977484","42.269872","CUBIC_HERMITE","2","1","none","mission"
"171","37.30380284","127.90709535","-38.782757","-41.225890","1.085782131","62.210734","42.519870","CUBIC_HERMITE","2","1","none","mission"
"172","37.30380482","127.90709668","-38.664568","-41.005595","1.068947914","61.246204","42.769868","CUBIC_HERMITE","2","1","none","mission"
"173","37.30380679","127.90709806","-38.542248","-40.787569","1.047094671","59.994105","43.019863","CUBIC_HERMITE","2","1","none","mission"
"174","37.30380873","127.90709950","-38.414549","-40.572653","1.017448117","58.295483","43.269854","CUBIC_HERMITE","2","1","none","mission"
"175","37.30381062","127.90710102","-38.279532","-40.362269","0.974436137","55.831078","43.519837","CUBIC_HERMITE","2","1","none","mission"
"176","37.30381245","127.90710267","-38.133860","-40.159149","0.913606148","52.345776","43.769793","CUBIC_HERMITE","0","0","none","mission"
"177","37.30381389","127.90710418","-38.000000","-40.000000","0.843678878","48.339239","43.977752","CUBIC_HERMITE","0","0","none","mission"
"178","37.30381553","127.90710609","-37.830367","-39.818046","0.820428057","47.007065","44.226514","STRAIGHT","0","0","none","mission"
"179","37.30381716","127.90710800","-37.660734","-39.636092","0.820428057","47.007065","44.475276","STRAIGHT","0","0","none","mission"
"180","37.30381880","127.90710992","-37.491101","-39.454138","0.820428057","47.007065","44.724038","STRAIGHT","0","0","none","mission"
"181","37.30382044","127.90711183","-37.321468","-39.272183","0.820428057","47.007065","44.972801","STRAIGHT","0","0","none","mission"
"182","37.30382208","127.90711374","-37.151835","-39.090229","0.820428057","47.007065","45.221563","STRAIGHT","0","0","none","mission"
"183","37.30382372","127.90711566","-36.982202","-38.908275","0.820428057","47.007065","45.470325","STRAIGHT","0","0","none","mission"
"184","37.30382536","127.90711757","-36.812569","-38.726321","0.820428057","47.007065","45.719088","STRAIGHT","0","0","none","mission"
"185","37.30382700","127.90711948","-36.642936","-38.544367","0.820428057","47.007065","45.967850","STRAIGHT","0","0","none","mission"
"186","37.30382864","127.90712140","-36.473303","-38.362413","0.820428057","47.007065","46.216612","STRAIGHT","0","0","none","mission"
"187","37.30383028","127.90712331","-36.303670","-38.180459","0.820428057","47.007065","46.465374","STRAIGHT","0","0","none","mission"
"188","37.30383192","127.90712522","-36.134037","-37.998505","0.820428057","47.007065","46.714137","STRAIGHT","0","0","none","mission"
"189","37.30383356","127.90712714","-35.964404","-37.816550","0.820428057","47.007065","46.962899","STRAIGHT","0","0","none","mission"
"190","37.30383520","127.90712905","-35.794771","-37.634596","0.820428057","47.007065","47.211661","STRAIGHT","0","0","none","mission"
"191","37.30383684","127.90713096","-35.625138","-37.452642","0.820428057","47.007065","47.460423","STRAIGHT","0","0","none","mission"
"192","37.30383848","127.90713288","-35.455505","-37.270688","0.820428057","47.007065","47.709186","STRAIGHT","0","0","none","mission"
"193","37.30384012","127.90713479","-35.285872","-37.088734","0.820428057","47.007065","47.957948","STRAIGHT","0","0","none","mission"
"194","37.30384176","127.90713670","-35.116239","-36.906780","0.820428057","47.007065","48.206710","STRAIGHT","0","0","none","mission"
"195","37.30384340","127.90713862","-34.946606","-36.724826","0.820428057","47.007065","48.455473","STRAIGHT","0","0","none","mission"
"196","37.30384504","127.90714053","-34.776972","-36.542872","0.820428057","47.007065","48.704235","STRAIGHT","0","0","none","mission"
"197","37.30384668","127.90714244","-34.607339","-36.360917","0.820428057","47.007065","48.952997","STRAIGHT","0","0","none","mission"
"198","37.30384831","127.90714436","-34.437706","-36.178963","0.820428057","47.007065","49.201759","STRAIGHT","0","0","none","mission"
"199","37.30384995","127.90714627","-34.268073","-35.997009","0.820428057","47.007065","49.450522","STRAIGHT","0","0","none","mission"
"200","37.30385159","127.90714818","-34.098440","-35.815055","0.820428057","47.007065","49.699284","STRAIGHT","0","0","none","mission"
"201","37.30385323","127.90715010","-33.928807","-35.633101","0.820428057","47.007065","49.948046","STRAIGHT","0","0","none","mission"
"202","37.30385487","127.90715201","-33.759174","-35.451147","0.820428057","47.007065","50.196808","STRAIGHT","0","0","none","mission"
"203","37.30385651","127.90715392","-33.589541","-35.269193","0.820428057","47.007065","50.445571","STRAIGHT","0","0","none","mission"
"204","37.30385815","127.90715584","-33.419908","-35.087239","0.820428057","47.007065","50.694333","STRAIGHT","0","0","none","mission"
"205","37.30385979","127.90715775","-33.250275","-34.905284","0.820428057","47.007065","50.943095","STRAIGHT","0","0","none","mission"
"206","37.30386143","127.90715966","-33.080642","-34.723330","0.820428057","47.007065","51.191858","STRAIGHT","0","0","none","mission"
"207","37.30386307","127.90716158","-32.911009","-34.541376","0.820428057","47.007065","51.440620","STRAIGHT","0","0","none","mission"
"208","37.30386471","127.90716349","-32.741376","-34.359422","0.820428057","47.007065","51.689382","STRAIGHT","0","0","none","mission"
"209","37.30386635","127.90716540","-32.571743","-34.177468","0.820428057","47.007065","51.938144","STRAIGHT","0","0","none","mission"
"210","37.30386799","127.90716732","-32.402110","-33.995514","0.820428057","47.007065","52.186907","STRAIGHT","0","0","none","mission"
"211","37.30386963","127.90716923","-32.232477","-33.813560","0.820428057","47.007065","52.435669","STRAIGHT","0","0","none","mission"
"212","37.30387127","127.90717114","-32.062844","-33.631606","0.820428057","47.007065","52.684431","STRAIGHT","0","0","none","mission"
"213","37.30387291","127.90717306","-31.893211","-33.449651","0.820428057","47.007065","52.933193","STRAIGHT","0","0","none","mission"
"214","37.30387455","127.90717497","-31.723578","-33.267697","0.820428057","47.007065","53.181956","STRAIGHT","0","0","none","mission"
"215","37.30387619","127.90717689","-31.553945","-33.085743","0.820428057","47.007065","53.430718","STRAIGHT","0","0","none","mission"
"216","37.30387783","127.90717880","-31.384312","-32.903789","0.820428057","47.007065","53.679480","STRAIGHT","0","0","none","mission"
"217","37.30387946","127.90718071","-31.214679","-32.721835","0.820428057","47.007065","53.928243","STRAIGHT","0","0","none","mission"
"218","37.30388110","127.90718263","-31.045046","-32.539881","0.820428057","47.007065","54.177005","STRAIGHT","0","0","none","mission"
