tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,auto_estop,estop,parking_valid,parking_wall_complete,parking_ready,parking_search,parking_request_id,traffic_fail_safe,avoid_x,avoid_y,avoid_yaw,avoid_k,gps_x,gps_y,gps_heading_valid,rear_clear,red,green,traffic_stop_required
66,1789390337071684634,43236124224909,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
67,1789390337083235848,43236135776120,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
68,1789390337092276659,43236144816932,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
69,1789390337102674054,43236155214325,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
70,1789390337111694579,43236164234857,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
71,1789390337121694077,43236174234344,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
72,1789390337131686512,43236184226786,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
73,1789390337142946215,43236195486491,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
74,1789390337151686531,43236204226807,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
75,1789390337161694316,43236214234589,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
76,1789390337171698321,43236224238599,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
77,1789390337181700150,43236234240419,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
78,1789390337191700696,43236244240966,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
79,1789390337201731136,43236254271413,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
80,1789390337211689182,43236264229452,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
81,1789390337221701537,43236274241806,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
82,1789390337231693261,43236284233537,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
83,1789390337241687197,43236294227473,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
84,1789390337251696958,43236304237156,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
85,1789390337261703758,43236314244027,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
86,1789390337271688176,43236324228453,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
87,1789390337281694569,43236334234837,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
88,1789390337291687308,43236344227584,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
89,1789390337301709963,43236354250232,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
90,1789390337311682595,43236364222869,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
91,1789390337321684774,43236374225047,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
92,1789390337331698070,43236384238338,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
93,1789390337341686747,43236394227021,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
94,1789390337351696776,43236404237053,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
95,1789390337361706374,43236414246649,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
96,1789390337371683929,43236424224192,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
97,1789390337381689622,43236434229803,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
98,1789390337391687764,43236444228031,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
99,1789390337401697211,43236454237484,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
