stamp_s,ref_x,ref_y,ref_yaw,ref_curvature,target_str,act_str,v_ref,act_v,dx,dy,dyaw
1788422550.063798,1.0,0.0,0.0,0.0,0.0,-0.0023307986557483673,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.072839,1.0,0.0,0.0,0.0,0.0,-0.0027302727103233337,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.0848136,1.0,0.0,0.0,0.0,0.0,-0.0007595335482619703,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.0955615,1.0,0.0,0.0,0.0,0.0,-0.0011590076610445976,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1030674,1.0,0.0,0.0,0.0,0.0,0.0005543320439755917,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1146398,1.0,0.0,0.0,0.0,0.0,-0.006698382552713156,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1246278,1.0,0.0,0.0,0.0,0.0,-0.006298908498138189,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1328032,1.0,0.0,0.0,0.0,0.0,-0.00675164582207799,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1507745,1.0,0.0,0.0,0.0,0.0,-0.0018247979460284114,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1530168,1.0,0.0,0.0,0.0,0.0,-0.000945954816415906,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.163221,1.0,0.0,0.0,0.0,0.0,-0.0017715347930788994,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1726336,1.0,0.0,0.0,0.0,0.0,-0.0015584818320348859,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.1853385,1.0,0.0,0.0,0.0,0.0,-0.001478587044402957,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.194908,1.0,0.0,0.0,0.0,0.0,-0.0017981663113459945,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2034543,1.0,0.0,0.0,0.0,0.0,-0.0017981663113459945,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2145162,1.0,0.0,0.0,0.0,0.0,-0.0034759577829390764,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2228608,1.0,0.0,0.0,0.0,0.0,-0.003715642262250185,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2327232,1.0,0.0,0.0,0.0,0.0,-0.0033427998423576355,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2469876,1.0,0.0,0.0,0.0,0.0,-0.0028367992490530014,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2549567,1.0,0.0,0.0,0.0,0.0,-0.0017715347930788994,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2628407,1.0,0.0,0.0,0.0,0.0,-0.0021177458111196756,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.275735,1.0,0.0,0.0,0.0,0.0,-0.000919323181733489,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2827766,1.0,0.0,0.0,0.0,0.0,-0.004195011220872402,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.2937396,1.0,0.0,0.0,0.0,0.0,-0.004780906718224287,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3088746,1.0,0.0,0.0,0.0,0.0,-0.005979329347610474,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3146756,1.0,0.0,0.0,0.0,0.0,-0.005233644042164087,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.32496,1.0,0.0,0.0,0.0,0.0,-0.004567854106426239,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3338618,1.0,0.0,0.0,0.0,0.0,-0.003981958609074354,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.346984,1.0,0.0,0.0,0.0,0.0,-0.0011323761427775025,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3567288,1.0,0.0,0.0,0.0,0.0,-0.0005198490689508617,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3670177,1.0,0.0,0.0,0.0,0.0,-0.0006796387024223804,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3736866,1.0,0.0,0.0,0.0,0.0,-0.0007062703371047974,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3833213,1.0,0.0,0.0,0.0,0.0,-0.0026237464044243097,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.3934803,1.0,0.0,0.0,0.0,0.0,-0.0026237464044243097,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.404574,1.0,0.0,0.0,0.0,0.0,-0.003183010034263134,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.4129221,1.0,0.0,0.0,0.0,0.0,-0.0005731122801080346,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.4243903,1.0,0.0,0.0,0.0,0.0,-0.0003067961661145091,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.4409516,1.0,0.0,0.0,0.0,0.0,-0.0004932174342684448,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.4444988,1.0,0.0,0.0,0.0,0.0,-0.0017981663113459945,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.452862,1.0,0.0,0.0,0.0,0.0,-0.0021976404823362827,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.467866,1.0,0.0,0.0,0.0,0.0,-0.0015318503137677908,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.4766004,1.0,0.0,0.0,0.0,0.0,-0.0023574302904307842,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.4835098,1.0,0.0,0.0,0.0,0.0,-0.002490588231012225,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.4928792,1.0,0.0,0.0,0.0,0.0,-0.003768905531615019,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.5028923,1.0,0.0,0.0,0.0,0.0,-0.002570483135059476,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.5129697,1.0,0.0,0.0,0.0,0.0,-0.0026237464044243097,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.525719,1.0,0.0,0.0,0.0,0.0,-0.0015318503137677908,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.535781,1.0,0.0,0.0,0.0,0.0,-0.0018247979460284114,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.5429885,1.0,0.0,0.0,0.0,0.0,-0.0015318503137677908,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.5538414,1.0,0.0,0.0,0.0,0.0,-0.0023041670210659504,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.5659134,1.0,0.0,0.0,0.0,0.0,-0.0029965888243168592,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
